2019-09-30 16:43:34,596: 'a'
2019-09-30 16:43:34,843: 'b'
2019-09-30 16:43:35,164: 'c'
2019-09-30 16:43:35,439: 'd'
2019-09-30 16:43:42,089: Key.backspace
2019-09-30 16:43:42,242: Key.backspace
2019-09-30 16:43:42,415: Key.backspace
2019-09-30 16:43:42,720: Key.backspace
2019-09-30 16:43:44,964: Key.ctrl
2019-09-30 16:43:45,172: '\x03'
2019-09-30 16:46:34,582: Key.cmd
2019-09-30 16:46:34,735: Key.tab
2019-09-30 16:46:36,299: Key.tab
2019-09-30 16:46:36,475: Key.tab
2019-09-30 16:46:36,667: Key.tab
2019-09-30 16:46:36,867: Key.tab
2019-09-30 16:46:37,671: Key.ctrl
2019-09-30 16:46:37,791: Key.right
2019-09-30 16:46:45,675: Key.cmd
2019-09-30 16:46:53,475: 'a'
2019-09-30 16:46:54,537: 'b'
2019-09-30 16:46:55,192: 'c'
2019-09-30 16:47:02,629: Key.backspace
2019-09-30 16:47:02,779: Key.backspace
2019-09-30 16:47:02,951: Key.backspace
2019-09-30 16:47:03,147: Key.backspace
2019-09-30 16:47:06,680: Key.ctrl
2019-09-30 16:47:06,924: '\x03'
